name,location,price,capacity,rating,reviews,description
Terminus 330,"Atlanta, Georgia","$23,000",151-200 Guests,4.9,17,"Located in the heart of the Centennial Park District in downtown Atlanta, Terminus 330 is an award-winning wedding venue."
Journeyman's Hall,"Atlanta, GA","$2,000",151-200 Guests,5,4,"Journeyman's Hall is a wedding venue located in South Downtown Atlanta, GA, led by owner Chef Vincent Marra."
Monday Night Brewing: The Garage,Metro Atlanta,"$3,500",300+ Guests,4.9,15,Monday Night Garage is one of Atlanta’s most charming and inviting private event spaces with high ceilings and ample natural light.
Wahoo! Grill,"Decatur, GA","$3,000",201-250 Guests,5,108,Wahoo! Grill offers full-service wedding events with an outstanding staff.
Park Tavern: The Piedmont Room & Piedmont Garden Tent,Georgia,"$7,000",251-300 Guests,4.7,133,"Located in the heart of the city overlooking Piedmont Park, celebrating Atlanta’s city skylines and seasonal colors."
Emory Conference Center Hotel,"Atlanta, GA","$12,100",300+ Guests,4.8,41,Elegant venue offering versatility and unique surroundings in a convenient location near Hartsfield International Airport.
Factory Atlanta,"Atlanta, GA","$5,850",300+ Guests,5,6,A versatile wedding venue perfect for couples who love to get creative with an industrial-chic aesthetic.
The Kimpton Shane,"Atlanta, GA","$7,500",51-100 Guests,0,0,A boutique hotel featuring stunning architecture and stylish furnishings.
FORTH Hotel Atlanta,Georgia,"$25,000",151-200 Guests,0,0,A deluxe wedding venue in the trendy Old Fourth Ward neighborhood.
Atlanta Botanical Garden,"Atlanta, GA",$650,151-200 Guests,4.7,21,An urban oasis with lush lawns and tropical foliage.
The Westside Warehouse,"Atlanta, GA","$3,750",151-200 Guests,5,37,A converted warehouse with soaring cathedral ceilings.
Historic DeKalb Courthouse,"Decatur, GA",$450,101-150 Guests,4.8,93,Elegant courtroom with white marble and 20-foot ceilings.
Swan Coach House,"Atlanta, GA","$2,000",101-150 Guests,4.5,8,Historic space in the residential heart of Buckhead.
Waldorf Astoria Atlanta Buckhead,"Atlanta, GA","$12,000",51-100 Guests,4.9,7,Luxury venue with Southern charm in a prestigious neighborhood.
42West Entertainment Group,"Atlanta, GA","$12,000",251-300 Guests,5,6,Industrial modernity blended with refined elegance.
THE TROLLEY BARN,"Atlanta, GA","$3,850",201-250 Guests,4.2,43,1889 structure with hardwood floors and patio area.
Intercontinental Buckhead Atlanta,"Atlanta, GA",$225,300+ Guests,5,8,Hotel combining classic charm with modern luxury.
Grand Hyatt Atlanta in Buckhead,"Atlanta, GA","$12,500",300+ Guests,5,4,Luxurious yet down-to-earth vibe for weddings.
Callanwolde Fine Arts Center,GA,"$8,400",151-200 Guests,4.6,38,Unique venue with a century-long legacy.
Renaissance Atlanta Midtown Hotel,Midtown Atlanta,,300+ Guests,5,2,Located in the arts and music district.
Renaissance Concourse Atlanta Airport Hotel,"Atlanta, GA",,300+ Guests,0,0,Elegant venue combining luxury and convenience.
The Wimbish House,"Atlanta, GA",,201-250 Guests,4.9,85,Destination for weddings and events for nearly a century.
Omni Atlanta Hotel at Centennial Park,"Atlanta, GA","$7,100",300+ Guests,5,2,Perfect Atlanta wedding venue in downtown.
Rhodes Hall,"Atlanta, GA",,101-150 Guests,4.5,21,Known as the 'Castle on Peachtree'.
SCAD Ivy Hall,"Atlanta, GA","$4,500",101-150 Guests,4.5,4,Historic wedding venue with a legacy.
Hotel Colee,"Atlanta, GA",,251-300 Guests,0,0,Awarded 'Best Hotels in the South'.
Epicurean Hotel Atlanta,"Atlanta, GA",,101-150 Guests,5,3,Luxe and lavish wedding venue.
Pristine Chapel Lakeside,"Jonesboro, GA","$8,495",251-300 Guests,4.8,105,Luxe ceremony and reception venue.
Enon Ranch,"Atlanta, GA","$9,500",251-300 Guests,5,2,Rustic event space for countryside celebrations.
Olde Towne Special Events,"Atlanta, GA","$9,950",151-200 Guests,5,67,Full-service events facility with style.
